ana maria,(11)9888-3333,anamaria@hotmail.com
pedro,(11)95555-3455,pedro@hotmail.com
lucia,(11)9111-6666,lucia@email.com
gilberto assis,(11)9777-7777,gilberto77@hotmail.com
maria carme,1196666-5555,mariacarme@hotmail.com
maria carme,1196666-5555,mariacarme@hotmail.com
walkiria h,1198888-3333,walkiria@hotmail.com
willian oliveira,1192222-6666,w@hotmail.com
marcela torres,1193333-3654,marcela@hotmail.com
carlos assis,1192222-3344,carlos@terra.com
vanessa assis,119999-9999,vanessa@hotmail.com
marcia alves,11933335653,marcia@terra.com
lais iris,1191111-1111,laisiris@hotmail.com
